品种,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
莲藕,,,,,,,,,,,,,29000,23000,38000,52000,,50000,44000
萝卜,169770,221049,241051,228212,,,,,,,,,271000,326000,225000,170000,,125000,139000
普通白菜,66464,44088,97241,141271,,,,,,,,,,,,,,139000,133000
竹笋,,,,,,,,,,,,,,,,,,,
黄瓜,277464,,290798,302632,,,,,,,,,383000,361000,337000,300000,,255000,275000
辣椒,,,,,,,,,,,,,,,,,,,
菜豆,40329,105540,91838,274580,,,,,,,,,308000,311000,277000,257000,,,
豇豆,30000,,,,,,,,,,,,111000,106000,110000,100000,,76000,64000
甜椒,71262,77733,86808,91532,,,,,,,,,,,,,,,
莴苣,25000,,,,,,,,,,,,,,,,,,
大白菜,1005306,1314734,1220857,1055592,,,,,,,,,1117000,1232000,1130000,990000,,739000,695000
大蒜,17321,19914,20819,22307,,,,,,,,,23000,23000,18000,10000,,14000,12000
胡萝卜,27000,,,,,,,,,,,,84000,,77000,90000,,79000,76000
其他,842565,760885,1335859,916693,,,,,,,,,82000,,156000,160000,,124000,91000
蕃茄,202866,172966,,223590,,,,,,,,,,,,,,,
苦瓜,,,,,,,,,,,,,,,,,,,
茭白,,,,,,,,,,,,,,,,,,,
南瓜,,,,,,,,,,,,,,,,,,,
蕹菜,,,,,,,,,,,,,,,,,,,
马铃薯,17050,,,,,,,,,,,,,,,,,,
菠菜,52991,53915,52026,58791,,,,,,,,,146000,123000,117000,100000,,92000,100000
芹菜,41716,58519,82435,89736,,,,,,,,,209000,191000,172000,200000,,201000,214000
茄子,136548,157219,176180,262417,,,,,,,,,246000,,197000,180000,,178000,161000
蔬菜,3684000,3814000,4188000,4671000,3973000,4032000,4270000,4061000,4267000,4891000,5228671,5456330,5273000,4892000,4238928,3941573,3401037,3213119,3171115
冬瓜,,83138,,86637,,,,,,,,,,,,,,,
藠头,,,,,,,,,,,,,,,,,,,
甘蓝,179997,202187,178217,218867,,,,,,,,,356000,231000,198000,194000,,,
白菜,1071770,1358822,1318098,1196863,806520,999000,1040000,930000,1064000,860000,,,,,,,,,3171115
洋葱,,,,,,,,,,,,,,,,,,,
芋,,,,,,,,,,,,,,,,,,,
花椰菜,57410,63180,87339,81372,,,,,,,,,,,,,,,
金针菜,,,,,,,,,,,,,,,,,,,
苋菜,,,,,,,,,,,,,,,,,,,
大葱,19279,27517,30092,29409,,,,,,,,,150000,148000,157000,120000,,77000,91000
姜,,,,,,,,,,,,,,,,,,,
芥菜,,,,,,,,,,,,,,,,,,,
丝瓜,,,,,,,,,,,,,,,,,,,
芦笋,,,,,,,,,,,,,,,,,,,
草莓,,,,,,,,,,,,,,2006,,,,,
韭菜,16535,,,,,,,,,,,,,,,,,,
