品种,1991,1992,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
莲藕,,,,,,,,,,,,,,,,,
萝卜,56450.6,,,,,,,,,,535000,341000,432000,440000,,575000,721000
普通白菜,17672,,,,,,,,,,,,,,,261000,287000
竹笋,,,,,,,,,,,,,,,,,
黄瓜,141478,,,,,,,,,,766000,624000,688000,720000,,802000,928000
辣椒,26290.2,,,,,,,,,,,,,,,,
菜豆,43303.7,,,,,,,,,,382000,285000,405000,364000,,,
豇豆,6781.2,,,,,,,,,,28000,37000,40000,30000,,25000,29000
甜椒,18266.9,,,,,,,,,,,,,,,,
莴苣,74.5,,,,,,,,,,,,,,,,
大白菜,585805.5,,,,,,,,,,4201000,3076000,3703000,3640000,,3510000,3996000
大蒜,6067.6,,,,,,,,,,115000,83000,235000,140000,,135000,128000
胡萝卜,9289.9,,,,,,,,,,154000,98000,132000,100000,,112000,128000
其他,192507.3,,,,,,,,,,142000,,281000,220000,,,130000
蕃茄,57059.9,,,,,,,,,,,,,,,,
苦瓜,,,,,,,,,,,,,,,,,
茭白,,,,,,,,,,,,,,,,,
南瓜,11947,,,,,,,,,,,,,,,,
蕹菜,,,,,,,,,,,,,,,,,
马铃薯,124773,,,,,,,,,,,544000,,,,,
菠菜,36500.5,,,,,,,,,,127000,127000,126000,140000,,186000,192000
芹菜,26599.4,,,,,,,,,,141000,111000,143000,190000,,178000,171000
茄子,93130,,,,,,,,,,333000,,385000,360000,,429000,455000
蔬菜,6200000,6500000,5305485,5876000,6424000,7369000,8225000,8364000,7778413,8594398,8810000,6999000,8325587,8136549,7970907,8576045,9684193
冬瓜,,,,,,,,,,,,,,,,,
藠头,,,,,,,,,,,,,,,,,
甘蓝,87390.7,,,,,,,,,,289000,360000,277000,282000,,,
白菜,603477.5,,,2502000,2735000,2881000,2497000,,,,,,,,,,9684193
洋葱,1790.3,,,,,,,,,,,,,,,,
芋,,,,,,,,,,,,,,,,,
花椰菜,2827.1,,,,,,,,,,,,,,,,
金针菜,,,,,,,,,,,,,,,,,
苋菜,,,,,,,,,,,,,,,,,
大葱,75032.3,,,,,,,,,,460000,337000,454000,410000,,501000,563000
姜,,,,,,,,,,,,,,,,,
芥菜,3889.6,,,,,,,,,,,,,,,,
丝瓜,,,,,,,,,,,,,,,,,
芦笋,,,,,,,,,,,,,,,,,
草莓,,,,,,,,,,,,16441,,,,,
韭菜,18347.3,,,,,,,,,,,,,,,,
