品种,1991,1995,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
莲藕,,,,,,,,,,63000,,,,,
萝卜,,,,,,,,,,37500,33000,60000,,55500,52500
普通白菜,,,,,,,,,,,,,,10500,4500
竹笋,,,,,,,,,,,,,,,
黄瓜,,,,,,,,,,4500,3000,15000,,1500,1500
辣椒,,,,,,,,,,,,,,,
菜豆,,,,,,,,,7500,9000,1500,,,,
豇豆,,,,,,,,,,,,,,,
甜椒,,,,,,,,,,,,,,,
莴苣,,,,,,,,,,,,,,,
大白菜,,,,,,,,,,42000,43500,30000,,18000,19500
大蒜,,,,,,,,,,1500,3000,15000,,,1500
胡萝卜,,,,,,,,,,1500,7500,60000,,24000,1500
其他,,,,,,,,,15000,175500,,,,,16500
蕃茄,,,,,,,,,,,,,,,
苦瓜,,,,,,,,,,,,,,,
茭白,,,,,,,,,,,,,,,
南瓜,,,,,,,,,,,,,,,
蕹菜,,,,,,,,,,,,,,,
马铃薯,,,,,,,,,,28500,,,,,
菠菜,,,,,,,,,,10500,9000,15000,,6000,6000
芹菜,,,,,,,,,,7500,4500,15000,,6000,4500
茄子,,,,,,,,,,,,,,,1500
蔬菜,120000,103500,135000,85500,109500,94500,132000,139500,204000,228000,270000,285000,295500,312000,306600
冬瓜,,,,,,,,,,,,,,,
藠头,,,,,,,,,,,,,,,
甘蓝,,,,,,,,,,4500,3000,7500,,,
白菜,,,,22500,18000,,,,,,,,,,308400
洋葱,,,,,,,,,,,,,,,
芋,,,,,,,,,,,,,,,
花椰菜,,,,,,,,,,,,,,,
金针菜,,,,,,,,,,,,,,,
苋菜,,,,,,,,,,,,,,,
大葱,,,,,,,,,,6000,4500,15000,,7500,1500
姜,,,,,,,,,,,,,,,
芥菜,,,,,,,,,,,,,,,
丝瓜,,,,,,,,,,,,,,,
芦笋,,,,,,,,,,,,,,,
草莓,,,,,,,,,,,,,,,
韭菜,,,,,,,,,,,,,,,
