品种,1991,1992,1993,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
莲藕,,,,,,,,,,,,9000,10500,33000,36000,,13500,15000
萝卜,60000,,,,,,,,,,,495000,558000,609000,600000,,622500,637500
普通白菜,110000,,,,,,,,,,,,,,,,499500,544500
竹笋,,,,,,,,,,,,,,,,,,
黄瓜,11000,,,,,,,,,,,163500,178500,184500,195000,,220500,243000
辣椒,40000,,,,,,,,,,,,574500,,,,,
菜豆,20000,,,,,,,,,,,471000,502500,534000,576000,,,
豇豆,32000,,,,,,,,,,,148500,159000,175500,195000,,208500,225000
甜椒,3300,,,,,,,,,,,,,,,,,
莴苣,20000,,,,,,,,,,,,,,,,,
大白菜,100000,,,,,,,,,,,1702500,1783500,1852500,1935000,,2053500,2283000
大蒜,40000,,,,,,,,,,,252000,231000,253500,270000,,306000,348000
胡萝卜,80000,,,,,,,,,,,126000,136500,171000,210000,,178500,186000
其他,200000,,,,,,,,,,,408000,6039000,372000,180000,,,252000
蕃茄,20000,,,,,,,,,,,,,,,,,
苦瓜,,,,,,,,,,,,,,,,,,
茭白,,,,,,,,,,,,,,,,,,
南瓜,46000,,,,,,,,,,,,,,,,,
蕹菜,,,,,,,,,,,,,,,,,,
马铃薯,140000,,,,,,,,,,,,8271000,,,,,
菠菜,9500,,,,,,,,,,,165000,190500,199500,210000,,232500,238500
芹菜,8500,,,,,,,,,,,133500,135000,153000,150000,,174000,165000
茄子,30000,,,,,,,,,,,175500,,208500,210000,,246000,265500
蔬菜,3000000,3246000,3488000,4114500,4234500,4447500,4719000,4857000,5331000,5584500,5853000,6223500,6649500,7099500,7417500,7918500,8374500,8993700
冬瓜,,,,,,,,,,,,,,,,,,
藠头,,,,,,,,,,,,,,,,,,
甘蓝,65000,,,,,,,,,,,336000,418500,433500,417000,,,
白菜,210000,,,349500,574500,595500,705000,330000,555000,,,,,,,,,9380250
洋葱,240,,,,,,,,,,,,,,,,,
芋,,,,,,,,,,,,,,,,,,
花椰菜,14000,,,,,,,,,,,,,,,,,
金针菜,,,,,,,,,,,,,,,,,,
苋菜,,,,,,,,,,,,,,,,,,
大葱,4000,,,,,,,,,,,111000,153000,180000,180000,,201000,219000
姜,,,,,,,,,,,,,,,,,,
芥菜,20000,,,,,,,,,,,,,,,,,
丝瓜,,,,,,,,,,,,,,,,,,
芦笋,100,,,,,,,,,,,,,,,,,
草莓,,,,,,,,,,,,,19500,,,,,
韭菜,2000,,,,,,,,,,,,,,,,,
