品种,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
香蕉,2.2,3.1,2.9,2.88,,3.4,3.4,3.7,4,3.05,2.7,2,2.1,2.1,2.2,2.3,2,1.8,1.69,1.6
水果,26.3,30.1,35.6,40.76,41.1,40.3,52.1,58.8,70.4,75.74,90.3,98.3,103.1,110.3,118.9,119.1,124.6,133.3,140.83,151.8
柿子,,,,,,,,,,,,,,,,,,,,
荔枝,,,,,,,,,,,.1,.4,.3,.5,.6,.6,.4,.3,.35,.3
苹果,3.4,4.7,4.8,5.25,,7.2,6.9,7.2,7.2,8.08,7.7,7.4,4.8,6,5.7,6,6.4,6.3,6.89,6.6
桃,,,,,,,,,,,4.79,7.8,11.2,12.4,15.7,16.1,16.8,17.9,19.53,19.8
菠萝,,,,,,,,,,,,,,,,,,,,
葡萄,.7,.9,1.2,1.22,,1.3,2.2,3.4,2.5,3.54,3.2,3.2,3.4,3.8,4.5,4.5,5.9,6.5,7.57,9.5
梨,3,3.6,4.9,6.32,,6.3,9,2,15.6,18.34,52.3,28.4,31,33.9,36.5,36.8,38.5,41.3,43.59,44.5
龙眼,,,,,,,,,,,,,,,,,,,,
红枣,,,,,,,,,,,,,,,,,,,,
猕猴桃,,,,,,,,,,,4.96,5.9,6,6,5.5,5.5,5.5,5.6,5.77,5.6
柑橘类,14.5,14.8,19.6,19.11,,18.4,23.1,25,34.2,32.89,33.4,34.9,33.9,35.5,38.7,37,37.9,38.5,38.57,40.9
