品种,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
香蕉,1424	,1935	,2292	,1984	,1448	,1269	,1490	,1667	,1903	,1719	,1981	,1627	,1620	,1745	
水果,607242	,740977	,717046	,816841	,826121	,910111	,1058367	,1128333	,1288113	,1208406	,1481915	,1624735	,1807067	,2025541	
柿子,3861	,4263	,4711	,4756	,4795	,5551	,6604	,6529	,6409	,6791	,8107	,7523	,10558	,	
荔枝,	,	,	,	,70	,84	,176	,196	,186	,183	,214	,227	,307	,294	
苹果,4274	,6167	,5688	,7020	,6226	,6225	,6441	,6854	,6094	,6326	,6693	,5831	,6887	,5287	
桃,	,	,	,	,41064	,41290	,46295	,48719	,55554	,52649	,64665	,70636	,78000	,80660	
菠萝,	,	,	,	,	,	,	,	,	,	,	,	,	,	
葡萄,5942	,8618	,9142	,9917	,10493	,12137	,17413	,17183	,20727	,18919	,22666	,24711	,31124	,43261	
梨,31250	,52070	,53376	,76251	,89316	,100777	,142901	,161200	,180049	,171962	,206088	,235587	,259982	,294381	
龙眼,	,	,	,	,1004	,1169	,1464	,821	,939	,1216	,1430	,1352	,1905	,2498	
红枣,406	,570	,586	,655	,1031	,19440	,11697	,10817	,1696	,1706	,2158	,2302	,3580	,3194	
猕猴桃,	,	,	,	,803	,1330	,2016	,2304	,2453	,2174	,2672	,2909	,3876	,5140	
柑橘类,456672	,546494	,526695	,583944	,598853	,656915	,752374	,799543	,909085	,847147	,1043825	,1137224	,1263348	,1390243	
