品种,1991,1992,1993,1994,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
莲藕,,199514,1042616,1037814,,,,,,,,7342000,7041000,7071000,7219000,,7116000,7499000
萝卜,12872930,10491700,10150870,12164340,,,,,,,,38809000,38328000,39352000,40030000,,39550000,40799000
普通白菜,7386142,6363326,6878734,7562329,,,,,,,,,,,,,30345000,29625000
竹笋,,152538,177288,317647.6,,,,,,,,,,,,,,
辣椒,4598435,5378937,6491280,6757697,,,,,,,,8215000,7830000,,,,,
黄瓜,7579773,9745539,10748970,12560710,,,,,,,,35513000,36553000,38171000,40400000,,42194000,44204000
菜豆,2605413,2726575,3218903,3595309,,,,,,,,26791000,27525000,28831000,29633000,,,
甜椒,2370642,2153585,2328754,2347726,,,,,,,,,,,,,,
豇豆,2697741,1962877,2412078,2616012,,,,,,,,7250000,7569000,8257000,8720000,,9353000,9592000
莴苣,3154798,2732648,4156132,3471115,,,,,,,,,,,,,,
大白菜,35781180,26733690,29156510,30340030,,,,,,,,101974000,103463000,103083000,105060000,,105455000,105873000
大蒜,4973358,4367341,5386340,4938906,,,,,,,,15556000,15666000,16541000,18320000,,18282000,17900000
胡萝卜,3032613,2244263,3478764,3053038,,,,,,,,13124000,13299000,13314000,14430000,,14767000,15057000
其他,16749340,13165890,19391620,15757630,,,,,,,,27242000,,26968000,28720000,,24278000,25795000
蕃茄,8376218,7651891,10182500,10842870,,,,,,,,,,,,,,
苦瓜,,243022.6,513329,523932.1,,,,,,,,,,,,,,
茭白,,292577,184182,630255,,,,,,,,,,,,,,
南瓜,1614507,1469697,2225664,1764297,,,,,,,,,,,,,,
蕹菜,,1367906,1738728,1484515,,,,,,,,,,,,,,
马铃薯,9382318,13332200,12721410,14179480,,,,,,,,,14444000,,,,,
菠菜,3206567,2926752,3301454,3239969,,,,,,,,15739000,15674000,16179000,16270000,,16628000,17538000
芹菜,5427639,5065369,6096536,6170124,,,,,,,,17955000,19187000,19513000,20680000,,19760000,20814000
茄子,5787334,5583240,6529184,7588994,,,,,,,,21192000,,22634000,22470000,,23722000,25885000
蔬菜,204097000,168583000,196948000,209046000,313974000,344725000,384855000,405263000,423979000,483373600,529088700,540323000,550647000,564514900,583255400,564520400,592403500,618238100
藠头,,21894,25715,21350,,,,,,,,,,,,,,
冬瓜,,1723159,1918412,2650013,,,,,,,,,,,,,,
甘蓝,8688783,8869168,10241800,8803628,,,,,,,,28752000,28458000,29858000,30767000,,,
白菜,43167320,33097010,36035040,37902360,66478000,81609000,80707000,84303000,85938000,,,,,,,,,618238100
洋葱,1811307,1419770,1363520,3023697,,,,,,,,,,,,,,
芋,,598262,887019,1111816,,,,,,,,,,,,,,
花椰菜,2486262,1986030,4765385,2311972,,,,,,,,,,,,,,
金针菜,,,,,,,,,,,,,,,,,,
苋菜,,29372.2,34667,68793,,,,,,,,,,,,,,
大葱,5636667,4481858,5573441,5629947,,,,,,,,17628000,18917000,19250000,19560000,,19337000,20754000
姜,,341369,1015560,972764.5,,,,,,,,,,,,,,
芥菜,3301610,3428146,3696143,3514680,,,,,,,,,,,,,,
丝瓜,,255111,343031,397317.8,,,,,,,,,,,,,,
芦笋,504588.4,328041.2,324239,374843.8,,,,,,,,,,,,,,
草莓,,84487.8,266511.4,295875.3,,,,,,,,,1858505,,,,,
韭菜,3752253,3148962,3878197,4735737,,,,,,,,,,,,,,
