-12686.73463,-133116.7346,-9116.734632,-31916.73463,-7616.734632,-6916.734632,-11716.73463,-3416.734632,-69816.73463,-3150.05252,-1550.05252,-4150.05252,-2550.05252,-2350.05252,-950.05252,-2950.05252,-1850.05252,-6350.05252,-1880.05252,-3150.05252,-5050.05252,-1050.05252,-1950.05252,-7950.05252,-6250.05252,-3250.05252,-1150.05252,-5550.05252,-6750.05252,-2550.05252,-15550.05252,-2550.05252,0
994060,-16231.2,31352.6,-25040,104686200,-10477.8,27400,404420,21800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37516900,210000,210000,3257,7436000,16310,7005,11950000,138200,6295677.32,42241680.96,26547023.62,722877.51,16215124.57,40530125.71,7737247.7,111916916.3,18200551,13469493.59,30984958.45,1425154.2,5931014.25,37013325.33,15389373.56,21019572.76,23967733.79,133434635.5,6308555.42,2907397.97,20238757.94,2573337.3,1121032.26,0
100,35,5,2,5,277,27,100,0,3,3,12,5,232,15,57,42,47,688,92,17,148,5,487,10,8,280,3,27,5,28,15,368000000000000
0.01,0.02,0.01,10,0.05,0.05,0.05,0.03,0.09,0.09,0.03,0.03,0.08,0,0.02,0.03,0.06,0.11,0.04,0.03,0.03,0.03,0.08,0.04,0.01,0.02,0.02,0.03,0.06,0.03,0,0.02,633000000000
0.03,0.02,0.03,0,0.03,0.04,0.04,0.03,0,0.03,0.06,0.03,0.08,0,0.03,0.03,0.07,0.08,0.03,0.03,0.03,0.04,0.04,0.11,0.08,0.04,0.09,0.03,0.05,0,0,0.04,620000000000
0.06,0.02,0.02,0.01,0.04,0.05,0.06,0.03,0,0.05,0.6,0.4,0.6,0,0.2,0.12,0.8,0.5,0.6,0.6,0.4,0.4,1.1,0.6,0.4,0.6,0.7,0,0.1,0.16,0,0.4,576000000000
8,10,9,23,4,33,33,4,5,44,18,40,5,0,9,72,47,35,13,19,56,8,27,32,12,5,28,8,6,7,4,5,48400000000000
1.46,2.22,0.7,0,0.34,0.45,0.56,1.46,0,0.73,1,0.5,0.05,0,0.46,0.59,0.92,0.81,0.41,0.57,0.85,0.36,0.34,1.74,2.21,1013,0.7,0,0.45,1.07,0,0.22,6430000000000
66,62,45,0,44,62,61,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13700000000000
5,38,5,0,4,13,34,5,0,10.3,0,0,0,0,0,3.6,0,0,0,0,0,0,0,0,0,0,0,0,31.3,11.5,0,0,0
0.09,0.2,0.13,0,0.1,0.05,0.28,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1,0.6,0.7,0,0.2,0.2,0.3,0.2,0,0.3,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0.3,0.7,0.5,0.8,0,0
11,11,12,4,11,35,20,3,52,39,56,49,9,37,24,14,69,29,32,10,14,16,8,66,48,24,90,24,36,39,27,14,445000000000000
0.1,6,0.5,0.3,0.2,0.2,0.4,0.7,9.1,1.4,0.3,0.6,0.5,1.4,0.5,12,0.5,1.4,1,0.4,0.7,0.4,0.8,2.9,0.8,0.5,1.9,0.6,1,1.2,1.4,0.4,7920000000000
11,27,20,24,7,18,22,11,90,58,0,24,64,95,0,20,31,0,0,23,0,0,47,0,50,27,0,39,55,117,25,0,348000000000000
2,232,144,119,124,177,159,115,995,243,0,102,389,222,0,142,0,0,0,163,0,0,311,0,154,73,0,147,378,302,295,0,950000000000000
0.9,8,1,3,0.5,1.3,1.2,0.7,19.1,44.2,60,27.2,0.4,2.6,4.9,3.3,89.3,5.1,71.4,5,2.5,0.8,2.7,85.2,73.8,5.4,73.5,4.4,33.1,19.6,0,2.6,1000000000000000
0.06,0.1,0.04,0.18,0.1,0.07,0.03,0.08,0.48,0.11,0,0.05,0.09,0.11,0,0.09,0.05,0,0,0.06,0,0,0.1,0,0.09,0.87,0,0.05,0.37,0.22,0.14,0,935000000000
5,12,8,4,6,16,14,10,45,19,0,15,1,16,0,12,11,0,0,9,0,0,58,0,10,10,0,15,27,21,44,0,164000000000000
0.01,0.23,0.15,0.4,0.02,1,0.14,0.1,0.18,0.23,0.13,0.25,0.33,0.3,0.18,0.19,0.21,0.46,0.23,0.13,0.36,0.14,0.37,0.85,0.46,0.23,0.51,0.23,1.45,0.88,0.56,0.21,7480000000000
1,0.21,0.1,0.7,0.5,0.45,0.31,0.98,2.74,0.39,0.6,0.96,0.04,1.9,0.38,0.38,0.33,1.24,0.63,0.15,0.36,0.46,0.78,0.97,0.5,0.48,1.17,0.92,1.45,3.09,0.56,0.86,23500000000000
