"","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","avgc"
"ÀÆπ˚",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"œ„Ω∂",0.0910411437573008,0.100446499375229,0.0896869981283383,0.082802155381052,0.07414660894072,0.0544957662253144,0.0568302811258553,0.0645198944479156,0.0672408472238632,0.0793716839136489,0.0461024679612737,0.0799383341148853,0.0781733669053735,0.0721473829224075,0.073772016575855,0.0718938143443872,0.0741104453096484,0.0690953988563285,0.0721347597128623,0.0743128727585904,0.0736131368990425
" ¡◊”",0.0294824840105766,0.0296844833373154,0.0262056875135327,0.0236268417975681,0.0229997340215397,0.0220343481869713,0.0211308500425007,0.0240999711527158,0.02374818501155,0.0255721832753508,0.0138566179556774,0.0250373418795796,0.0237714993083513,0.0238048856499074,0.0247302416999057,0.024172222236691,0.0244682956411972,0.0239087849636473,0.0231428608757356,NA,0.0239725009768586
"∆ªπ˚",0.208648074605974,0.268671562928134,0.299896221740765,0.317967852156724,0.332429655103524,0.366492636081931,0.338327384276334,0.357257384345406,0.33348558101193,0.328204779742551,0.175014952571493,0.27676978357245,0.279437443206813,0.28204779671137,0.271756828304719,0.271472957452294,0.264820271626719,0.263222687875036,0.258694929689484,0.258551848664967,0.287658531583431
"¿Û÷¶",0.00858433748781091,0.0125702176105583,NA,NA,NA,NA,NA,NA,NA,NA,0.00833868186524148,0.0219098012364823,0.0148819138711375,0.0185344074802713,0.0163045517956988,0.0157093723712071,0.0162323674565032,0.0132928532876147,0.0138455985804796,0.0137886769222159,0.0144993983304351
"Ã“",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0398900767390453,0.075236637619786,0.0814153756024282,0.0835224336423507,0.0862905922040423,0.0855767002023601,0.086040861874924,0.084085177424305,0.0819849767972439,0.0812734789817205,0.0785316311088206
"≤§¬‹",0.0197241336209392,0.0181010313951149,0.0151017458658062,0.0138588498576738,0.0127984754048223,0.0105906909828057,0.0103606727968873,0.0118272948124587,0.0141498319156771,0.0137589843259926,0.00759913292573731,0.0119003075382841,0.0108834748809578,0.00962879553745508,0.00960785250232528,0.0092788844932794,0.00860325541428398,0.00823387941708734,0.00851322716327016,0.00836395462809448,0.0116442237739476
"∆œÃ—",0.0420877283760223,0.0461089802724732,0.0449906151244608,0.0434917390203634,0.0413252940295784,0.0404730075640117,0.0399425896023085,0.0432467003970215,0.0434158703856569,0.0527167952821034,0.0321758352453971,0.064434204356169,0.068541666170078,0.0676105242065471,0.0655810049049845,0.0653256486851803,0.0636559914527315,0.0630702394937084,0.0648404305268736,0.0664500051689709,0.052974243513232
"¿Ê",0.114780118430642,0.116639857579199,0.106839136724287,0.11552173239695,0.117268859142221,0.124798068784922,0.12604580728042,0.133424906191309,0.124122701475541,0.135135973495887,0.0769147773378477,0.133910511825408,0.129754293240488,0.126782464992815,0.128159214948964,0.124865080253875,0.122572412246015,0.119395321600294,0.116466811852309,0.117037005945483,0.120521752787244
"¡˙—€",0.00551328369772706,0.00526582388458145,NA,NA,NA,NA,NA,NA,NA,NA,0.00542742493983995,0.0135812387262334,0.0120621246948628,0.012132734597756,0.0123534010857561,0.0115395461612786,0.0111188633045383,0.0112055204552109,0.0102871050162538,0.0101989548573947,0.0100571684517861
"∫Ï‘Ê",0.0206510100977609,0.0200067374481219,0.0173642779623463,0.0185785891729191,0.0185560667646271,0.0167325120109903,0.0183925874605694,0.0202391848817491,0.017688941159345,0.0209800025605821,0.0114429406374168,0.0226366876774674,0.0227595046402566,0.0239597914448352,0.0281648513010353,0.0318031924452234,0.0288073271535467,0.0320495338180356,0.0346859196873528,0.0347318703202352,0.0230115764322208
"∏ÃÈŸ¿‡",0.291000750875639,0.211470669355635,0.217883667394166,0.194431903708483,0.195082055897236,0.181751762693694,0.198497953165471,0.157538815001982,0.172934872996098,0.141091109977001,0.101493158542728,0.172469857508221,0.178158919486694,0.178199442610757,0.180172558390004,0.186455989936688,0.195647185636939,0.20559788762951,0.205864912027136,0.205611947862572,0.188567771034833
"‚®∫ÔÃ“",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00211306067771,0.00407604739944591,0.00437289330548199,0.00487788257847683,0.00517049285937573,0.0054503358344033,0.0054985874954374,0.00594392587653851,0.00714598342858589,0.00831538961992906,0.00529645990753846
