"","x"
"1",37516900
"2",210000
"3",210000
"4",3257
"5",7436000
"6",173731643352.518
"7",7005
"8",11950000
"9",138200
"10",6295677.32
"11",42241680.96
"12",26547023.62
"13",722877.51
"14",16215124.57
"15",40530125.71
"16",7737247.7
"17",111916916.3
"18",18200551
"19",13469493.59
"20",30984958.45
"21",1425154.2
"22",5931014.25
"23",37013325.33
"24",15389373.56
"25",21019572.76
"26",23967733.79
"27",133434635.5
"28",6308555.42
"29",2907397.97
"30",20238757.94
"31",2573337.3
"32",1121032.26
